date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:57	108/108	---M-Z	200	added ('OK')	text/plain	etag:%22426-1699579876;gz%22	https://demoxml.com/robots.txt		(from )
19:50:57	72128/72128	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20May%202015%2005:24:12%20GMT	https://demoxml.com/html/nimis/index-2.html	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/index-2.html	(from )
19:50:58	20766/20766	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:53%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	C:/My%20Web%20Sites/49dollar/maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	(from https://demoxml.com/html/nimis/index-2.html)
19:50:58	35212/35212	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-898c%22	https://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css	C:/My%20Web%20Sites/49dollar/code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css	(from https://demoxml.com/html/nimis/index-2.html)
19:50:59	1476/1476	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20May%202015%2020:24:16%20GMT	https://demoxml.com/html/nimis/css/owl.carousel.css	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/css/owl.carousel.css	(from https://demoxml.com/html/nimis/index-2.html)
19:50:59	4476/4476	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20May%202015%2020:24:16%20GMT	https://demoxml.com/html/nimis/css/owl.transitions.css	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/css/owl.transitions.css	(from https://demoxml.com/html/nimis/index-2.html)
19:50:59	1665/1665	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20May%202015%2020:24:16%20GMT	https://demoxml.com/html/nimis/css/owl.theme.css	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/css/owl.theme.css	(from https://demoxml.com/html/nimis/index-2.html)
19:51:00	3805/3805	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20May%202015%2020:24:16%20GMT	https://demoxml.com/html/nimis/css/jquery.bxslider.css	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/css/jquery.bxslider.css	(from https://demoxml.com/html/nimis/index-2.html)
19:51:00	5686/5686	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20May%202015%2020:24:16%20GMT	https://demoxml.com/html/nimis/css/bootstrap-select.min.css	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/css/bootstrap-select.min.css	(from https://demoxml.com/html/nimis/index-2.html)
19:51:00	3874/3874	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20May%202015%2020:24:16%20GMT	https://demoxml.com/html/nimis/css/lightbox.css	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/css/lightbox.css	(from https://demoxml.com/html/nimis/index-2.html)
19:51:00	38499/38499	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20May%202015%2020:24:18%20GMT	https://demoxml.com/html/nimis/js/rs-plugin/css/settings.css	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/js/rs-plugin/css/settings.css	(from https://demoxml.com/html/nimis/index-2.html)
19:51:02	137067/137067	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20May%202015%2020:24:16%20GMT	https://demoxml.com/html/nimis/css/bootstrap.css	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/css/bootstrap.css	(from https://demoxml.com/html/nimis/index-2.html)
19:51:04	21281/21281	---M-Z	200	added ('OK')	text/css	date:Sun,%2024%20May%202015%2002:11:14%20GMT	https://demoxml.com/html/nimis/css/responsive.css	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/css/responsive.css	(from https://demoxml.com/html/nimis/index-2.html)
19:51:05	74181/74181	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20May%202015%2023:14:38%20GMT	https://demoxml.com/html/nimis/style.css	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/style.css	(from https://demoxml.com/html/nimis/index-2.html)
19:51:06	1239/1239	---M--	200	added ('OK')	image/png	date:Sat,%2023%20May%202015%2020:24:20%20GMT	https://demoxml.com/html/nimis/images/apple-touch-icon-precomposed.png	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/images/apple-touch-icon-precomposed.png	(from https://demoxml.com/html/nimis/index-2.html)
19:51:06	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Sat,%2023%20May%202015%2020:24:20%20GMT	https://demoxml.com/html/nimis/images/favicon.ico	C:/My%20Web%20Sites/49dollar/demoxml.com/html/nimis/images/favicon.ico	(from https://demoxml.com/html/nimis/index-2.html)
